
 ▐▛███▜▌   Claude Code v2.1.45
▝▜█████▛▘  Opus 4.6 · Claude Max
  ▘▘ ▝▝    ~/Documents/Projects/olorin/olorin-media/bayit-plus/android-app

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ Plan: Top Navbar Parity Across Mobile Platforms                              │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ The three Bayit+ mobile platforms (iOS, Android, Web mobile) have divergent  │
│ top navbar implementations. The parity target is the iOS feature set,        │
│ updated to replace the "Bayit+" text brand with a house logo icon across all │
│  platforms. Android has the largest gap (bare icons, no real user data, no   │
│ brand, no playlist). Web mobile is missing a house logo and profile avatar   │
│ on mobile.                                                                   │
│                                                                              │
│ Feature matrix (target state)                                                │
│                                                                              │
│ Feature: House logo (left)                                                   │
│ iOS: Image("logo") (logo.png asset)                                          │
│ Web Mobile: <Image uri="/assets/images/logo.png">                            │
│ Android: painterResource(R.drawable.splash_logo)                             │
│ ────────────────────────────────────────                                     │
│ Feature: Profile avatar (real photo/fallback)                                │
│ iOS: ✅                                                                      │
│ Web Mobile: ❌ → fix                                                         │
│ Android: ❌ → fix                                                            │
│ ────────────────────────────────────────                                     │
│ Feature: Language selector (functional)                                      │
│ iOS: ✅                                                                      │
│ Web Mobile: ✅                                                               │
│ Android: ❌ → fix                                                            │
│ ────────────────────────────────────────                                     │
│ Feature: Playlist button                                                     │
│ iOS: ✅                                                                      │
│ Web Mobile: ✅                                                               │
│ Android: ❌ → fix                                                            │
│ ────────────────────────────────────────                                     │
│ Feature: Profile navigation                                                  │
│ iOS: ✅                                                                      │
│ Web Mobile: ✅ (logout only on mobile) → fix                                 │
│ Android: ❌ → fix                                                            │
│                                                                              │
│ Logo assets (same visual across all platforms)                               │
│                                                                              │
│ Platform: iOS                                                                │
│ Asset path: BayitPlusApp/Resources/logo.png                                  │
│ Usage in splash: UIImage(named: "logo") at 120×60pt                          │
│ ────────────────────────────────────────                                     │
│ Platform: Android                                                            │
│ Asset path: app/src/main/res/drawable/splash_logo.png                        │
│ Usage in splash: painterResource(R.drawable.splash_logo) at 120×60dp         │
│ ────────────────────────────────────────                                     │
│ Platform: Web                                                                │
