text,user_provided_answer
Is payroll affected by Good Friday this week? Do I need to submit payroll any earlier than usual?,"Yes, Good Friday is a federal holiday and it will affect your payroll. If your payday is on Good Friday or the day after, you will need to send your payroll one business day earlier than usual. For QuickBooks Online Payroll Core, you need to send your payroll before 5:## PM PT # business day prior to payday with a 1-day lead time or 5:## PM PT # business days before payday. For QuickBooks Online Payroll Premium and Elite, you have same day direct deposit or a 5-day lead time. When you approve your paychecks before 7:## AM PT on the day before the holiday, your money will draw from your account the same day. Your employees will see the money by 5:## PM local time per NACHA rules. If you have a 5-day lead time, you'll need to give yourself an extra day. Instead of sending your payroll on the Friday before payday, you'll need to send payroll on the Thursday of the previous week.<p>Is this helpful?"
I can't set up Autopay for a customer,"Is this helpful?<p>To set up Autopay for a customer, please follow these steps:nn#. Make sure you have a QuickBooks Payments account.n#. Set up a recurring invoice or template for the customer.n#. Your customer needs to have an Intuit account to use Autopay. If they don't have one, they'll need to create a new login.n#. Your customer opens the invoice and selects 'Set up autopay' to enroll.n#. Your customer signs in using their Intuit user ID.n#. Your customer makes sure the Autopay checkbox is selected and displays the correct frequency and start date.n#. Your customer selects the Autopay button to pay the current invoice. They'll receive a confirmation email that Autopay is set up.nnIf you're still having trouble setting up Autopay, please contact a QuickBooks expert for further assistance."
Why can i not access invoices?,"I'm sorry to hear that you're having trouble accessing your invoices. Here are some steps you can take to troubleshoot the issue:nn#. Make sure you are logged in to your QuickBooks account.n#. Check to see if you have the necessary permissions to access invoices. If you are not the primary user, you may need to ask the primary user to grant you access.n#. If you are still having trouble, try clearing your browser cache and cookies, then log back in to your account and try again.n#. If none of these steps work, I recommend reaching out to a QuickBooks expert for further assistance.nnRemember, it's important to send invoices to your customers in a timely manner and make sure they are going to the correct email address. Using invoicing software like InvoiceSherpa can help you avoid common mistakes and get paid faster.<p>Is this helpful?"
how to put quick books icon desk top,"You can easily add a QuickBooks Online shortcut to your desktop by following these steps:nn#. Close or minimize any open windows.n#. Open the browser you normally use QuickBooks Online with.n#. Sign in to your QuickBooks Online account.n#. From the address bar, drag and drop the View site information icon (beside the web address) onto your desktop screen.nNote: You may see a lock icon depending on the browser you use.nnAfter following these steps, you should now have a QuickBooks Online shortcut on your desktop that you can use to quickly access your account.<p>Is this helpful?"
I need help locating the transactions I entered manually.,"Is this helpful?<p>Sure, I can help you locate the transactions you entered manually in QuickBooks Online. Here are the steps:nn#. Go to the Banking menu and select the account where you manually entered the transactions.n#. Click on the Update button to refresh the page.n#. Look for the transactions you entered manually. They should be marked as 'Manually added' in the 'Added' column.n#. You can also filter the transactions by clicking on the Filter button and selecting 'Manually added' under the 'Added by' section.nnIf you still can't find the transactions, please let me know and provide more details so I can assist you better."
I want to customize a user's role. Can this be done with an existing user?,"Yes, you can customize a user's role with an existing user in QuickBooks Online Advanced. Here are the steps to do so:nn#. Go to Settings# then select Manage users.n#. Select the Users tab, then find the user you want to edit.n#. Select Edit from the Action column.n#. Choose from the existing custom or QuickBooks roles.n#. Select Save.n#. If you edited permissions after selecting the role, you’ll be asked to save a new custom role. Enter a Role name and description, then select Save Role.nnThat's it! Your user's role has been customized. Let me know if you have any other questions.<p>Is this helpful?"
"Is it possible to customize a user's role, or do I have to pick one of the roles provided?","Yes, it is possible to customize a user's role in QuickBooks Online Advanced. You can create a new custom role and choose what the role can access. To do this, go to Settings# then select Manage users. Select the Roles tab, then select Add role. Enter a Role name and Role description. Select what the user role can access in QuickBooks, then select Save Role. You can also create a sales role by location if you have business across different locations. To do this, go to Settings# then select Manage users. Select the Roles tab, then select Add role. Enter a Role name and Role description. Select Sales. From the All locations dropdown menu, select one or more locations. Select what your user can access. Select Save Role.<p>Is this helpful?"
how to check if invoices sent,"Is this helpful?<p>To check the status of sent invoices in QuickBooks Online, please follow these steps:nn#. Go to Sales, then Invoices.n#. In the Status column, you'll see if the invoice is undelivered or sent.nNote: If you're in the Invoices tab, you can select the Needs Attention message to see those undelivered invoices.nnIf the invoice failed to deliver for one of the recipients, the status will say Undeliverable. If the customer's email is correct and they haven't received the invoice, ask them to check their junk or spam folders. You can also check your email address in QuickBooks Online which might be causing the issue. If you need to edit the customer's email address, go to Customers & leads, then Customers, select the customer who didn't receive the invoice, and select Edit."
bad debt,"Was this helpful?<p>Sure, here's a summary of writing off bad debt in QuickBooks Online:nnTo write off bad debt:n#. Check your aging accounts receivable.n#. Create a bad debts expense account.n#. Create a bad debt item.n#. Create a credit memo for the bad debt.n#. Apply the credit memo to the invoice.n#. Run a bad debts report.nnNote: You can identify a bad debt entity by adding a note to their name."
I ran teh A/R Aging Summary,Great! What would you like to know about the A/R Aging Summary report?
