name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
TABLE_RECORD_CREATED_AT,VARCHAR(26),COLUMN,Y,,N,N,,,,,
TABLE_RECORD_UPDATED_AT,VARCHAR(26),COLUMN,Y,,N,N,,,,,
EVENT_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ORIGINAL_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STORE_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLIENT_REQUEST_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
APP_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_ID_KEY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SURROGATE_APP_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_UNIQUE_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
UNIQUE_USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_RECEIVED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_TIMESTAMP_MS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_SENT_FOR_NSURE_REVIEW,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
AUTHORIZATION_STAGE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL_NORMALIZED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE_NUMBER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DATE_OF_BIRTH,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
PERSONAL_INFO_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
MERCHANT_SEGMENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_ADDRESS,VARIANT,COLUMN,Y,,N,N,,,,,
CART,VARIANT,COLUMN,Y,,N,N,,,,,
CART_ITEMS_TYPES,ARRAY,COLUMN,Y,,N,N,,,,,
PRODUCT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CART_SKUS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_BRANDS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_ITEMS_ARE_GIFTS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_ITEMS_FULFILLMENT,ARRAY,COLUMN,Y,,N,N,,,,,
CREDIT_USE,VARIANT,COLUMN,Y,,N,N,,,,,
PAID_AMOUNT_CURRENCY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAID_AMOUNT_VALUE_IN_CURRENCY,FLOAT,COLUMN,Y,,N,N,,,,,
PROCESSING_FEE_CURRENCY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSING_FEE_VALUE_IN_CURRENCY,FLOAT,COLUMN,Y,,N,N,,,,,
BIN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_FOUR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSOR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSOR_MERCHANT_IDENTIFIER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_TOKEN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_INTERNAL_IDENTIFIER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CARD_HOLDER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_THREE_D_SECURE_VERIFIED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
THREE_D_SECURE_RESULT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_UNDER_THREE_D_SECURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
PAYPAL_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_DETAILS_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
IS_ANONYMOUS,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
FAILURE_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRANSACTION_DETAILS_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
DEVICE_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IP,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
USER_AGENT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SESSION_INFO_LANGUAGE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SESSION_INFO_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_INFO,VARIANT,COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_INFO,ARRAY,COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_EMAILS,ARRAY,COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_EMAILS_NORMALIZED,ARRAY,COLUMN,Y,,N,N,,,,,
IS_GIFTING,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
CART_DELIVERY_METHODS,ARRAY,COLUMN,Y,,N,N,,,,,
IS_DELIVERY_METHOD_EMAIL_ONLY,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_DELIVERY_METHOD_CONTAINING_ON_SCREEN,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
PARTNER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RISK_MODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_CREATED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
CART_USD,VARIANT,COLUMN,Y,,N,N,,,,,
GMV,FLOAT,COLUMN,Y,,N,N,,,,,
